JHU,GCP
Ukraine_Dnipropetrovsk Oblast,Ukraine_Dnipropetrovsk
Ukraine_Donetsk Oblast,Ukraine_Donetsk
Ukraine_Ivano-Frankivsk Oblast,Ukraine_Ivano-Frankivsk
Ukraine_Kharkiv Oblast,Ukraine_Kharkiv
Ukraine_Kherson Oblast,Ukraine_Kherson
Ukraine_Khmelnytskyi Oblast,Ukraine_Khmelnytskyi
Ukraine_Kiev,Ukraine_Kiev
Ukraine_Kiev Oblast,Ukraine_Kiev Oblast
Ukraine_Kirovohrad Oblast,Ukraine_Kirovohrad
Ukraine_Luhansk Oblast,Ukraine_Luhansk
Ukraine_Lviv Oblast,Ukraine_Lviv
Ukraine_Mykolaiv Oblast,Ukraine_Mykolaiv
Ukraine_Odessa Oblast,Ukraine_Odessa
Ukraine_Poltava Oblast,Ukraine_Poltava
Ukraine_Rivne Oblast,Ukraine_Rivne
Ukraine_Sevastopol*,
Ukraine_Sumy Oblast,Ukraine_Sumy
Ukraine_Ternopil Oblast,Ukraine_Ternopil
Ukraine_Vinnytsia Oblast,Ukraine_Vinnytsia
Ukraine_Volyn Oblast,Ukraine_Volyn
Ukraine_Zakarpattia Oblast,Ukraine_Zakarpattia
Ukraine_Zaporizhia Oblast,Ukraine_Zaporizhzhya
Ukraine_Zhytomyr Oblast,Ukraine_Zhytomyr
United Arab Emirates_,United Arab Emirates_
United Kingdom_Anguilla,
United Kingdom_Bermuda,
United Kingdom_British Virgin Islands,
United Kingdom_Cayman Islands,
United Kingdom_Channel Islands,
United Kingdom_England,United Kingdom_England
United Kingdom_Falkland Islands (Malvinas),
United Kingdom_Gibraltar,
United Kingdom_Isle of Man,
United Kingdom_Montserrat,
United Kingdom_Northern Ireland,
United Kingdom_Scotland,United Kingdom_Scotland
United Kingdom_Turks and Caicos Islands,
United Kingdom_Unknown,
United Kingdom_Wales,United Kingdom_Wales
Uruguay_,Uruguay_
Uzbekistan_,Uzbekistan_
Vanuatu_,Vanuatu_
Venezuela_,Venezuela_
Vietnam_,Vietnam_
West Bank and Gaza_,
Western Sahara_,
Yemen_,Yemen_
Zambia_,Zambia_
Zimbabwe_,Zimbabwe_
Afghanistan_,Afghanistan_Balkh
Afghanistan_,Afghanistan_Bamyan
Afghanistan_,Afghanistan_Badghis
Afghanistan_,Afghanistan_Badakhshan
Afghanistan_,Afghanistan_Baghlan
Afghanistan_,Afghanistan_Daykundi
Afghanistan_,Afghanistan_Farah
Afghanistan_,Afghanistan_Faryab
Afghanistan_,Afghanistan_Ghazni
Afghanistan_,Afghanistan_Ghor
Afghanistan_,Afghanistan_Helmand
Afghanistan_,Afghanistan_Herat
Afghanistan_,Afghanistan_Jowzjan
Afghanistan_,Afghanistan_Kabul
Afghanistan_,Afghanistan_Kandahar
Afghanistan_,Afghanistan_Kapisa
Afghanistan_,Afghanistan_Kunduz
Afghanistan_,Afghanistan_Khost
Afghanistan_,Afghanistan_Kunar
Afghanistan_,Afghanistan_Laghman
Afghanistan_,Afghanistan_Logar
Afghanistan_,Afghanistan_Nangarhar
Afghanistan_,Afghanistan_Nimruz
Afghanistan_,Afghanistan_Nuristan
Afghanistan_,Afghanistan_Panjshir
Afghanistan_,Afghanistan_Parwan
Afghanistan_,Afghanistan_Paktia
Afghanistan_,Afghanistan_Paktika
Afghanistan_,Afghanistan_Samangan
Afghanistan_,Afghanistan_Sar-e Pol
Afghanistan_,Afghanistan_Takhar
Afghanistan_,Afghanistan_Urozgan
Afghanistan_,Afghanistan_Maidan Wardak
Afghanistan_,Afghanistan_Zabul
Argentina_,Argentina_Salta
Argentina_,Argentina_Buenos Aires Province
Argentina_,Argentina_City of Buenos Aires
Argentina_,Argentina_San Luis
Argentina_,Argentina_Entre Ríos
Argentina_,Argentina_La Rioja
Argentina_,Argentina_Santiago del Estero
Argentina_,Argentina_Chaco
Argentina_,Argentina_San Juan
Argentina_,Argentina_Catamarca
Argentina_,Argentina_La Pampa
Argentina_,Argentina_Mendoza
Argentina_,Argentina_Misiones
Argentina_,Argentina_Formosa
Argentina_,Argentina_Neuquén
Argentina_,Argentina_Río Negro
Argentina_,Argentina_Santa Fe
Argentina_,Argentina_TucumÃ¡n
Argentina_,Argentina_Chubut
Argentina_,Argentina_Tierra del Fuego
Argentina_,Argentina_Corrientes
Argentina_,Argentina_Córdoba
Argentina_,Argentina_Jujuy
Argentina_,Argentina_Santa Cruz
American Samoa_,
Anguilla_,
Antarctica_,
Aruba_,
Austria_,Austria_Burgenland
Austria_,Austria_Carinthia
Austria_,Austria_Lower Austria
Austria_,Austria_Upper Austria
Austria_,Austria_Salzburg
Austria_,Austria_Styria
Austria_,Austria_Tyrol
Austria_,Austria_Vorarlberg
Austria_,Austria_Vienna
Bangladesh_,Bangladesh_Barisal
Bangladesh_,Bangladesh_Chittagong
Bangladesh_,Bangladesh_Dhaka
Bangladesh_,Bangladesh_Khulna
Bangladesh_,Bangladesh_Rajshahi
Bangladesh_,Bangladesh_Rangpur
Bangladesh_,Bangladesh_Sylhet
Bangladesh_,Bangladesh_Mymensingh
Bolivia_,Bolivia_
Bolivia_Beni,Bolivia_Beni
Bolivia_Cochabamba,Bolivia_Cochabamba
Bolivia_Chuquisaca,Bolivia_Chuquisaca
Bolivia_La Paz,Bolivia_La Paz
Bolivia_Pando,Bolivia_Pando
Bolivia_Oruro,Bolivia_Oruro
Bolivia_PotosÃ­,Bolivia_Potosí
Bolivia_Santa Cruz,Bolivia_Santa Cruz
Bolivia_Tarija,Bolivia_Tarija
Congo_,Democratic Republic of the Congo_Kongo Central
Congo_,Democratic Republic of the Congo_Bandundu Province
Congo (Brazzaville)_,Democratic Republic of the Congo_Bas-Uele
Congo_,Democratic Republic of the Congo_Équateur
Congo_,Democratic Republic of the Congo_Haut-Katanga Province
Congo_,Democratic Republic of the Congo_Haut-Lomami District
Congo_,Democratic Republic of the Congo_Haut-Uele
Congo_,Democratic Republic of the Congo_Ituri Interim Administration
Congo_,Democratic Republic of the Congo_Katanga Province
Congo_,Democratic Republic of the Congo_Kasaï-Central
Congo_,Democratic Republic of the Congo_Kasai-Oriental
Congo_,Democratic Republic of the Congo_Kwango Province
Congo_,Democratic Republic of the Congo_Kwilu
Congo (Kinshasa)_,Democratic Republic of the Congo_Kinshasa
Congo_,Democratic Republic of the Congo_Kasaï-Central
Congo,Democratic Republic of the Congo_Kasaï-Occidental
Congo,Democratic Republic of the Congo_Lomami Province
Congo,Democratic Republic of the Congo_Lualaba Province
Congo,Democratic Republic of the Congo_Maniema
Congo,Democratic Republic of the Congo_Mai-Ndombe Province
Congo,Democratic Republic of the Congo_Mongala District
Congo,Democratic Republic of the Congo_North Kivu
Congo,Democratic Republic of the Congo_Nord-Ubangi District
Congo,Democratic Republic of the Congo_Orientale Province
Congo,Democratic Republic of the Congo_Sankuru District
Congo,Democratic Republic of the Congo_South Kivu
Congo,Democratic Republic of the Congo_Sud-Ubangi
Congo,Democratic Republic of the Congo_Tanganyika Province
Congo,Democratic Republic of the Congo_Tshopo
Congo,Democratic Republic of the Congo_Tshuapa District
Costa Rica_,Costa Rica_Alajuela Province
Costa Rica,Costa Rica_Provincia de Cartago
Costa Rica,Costa Rica_Guanacaste Province
Costa Rica,Costa Rica_Heredia Province
Costa Rica,Costa Rica_Limón Province
Costa Rica,Costa Rica_Puntarenas Province
Costa Rica,Costa Rica_San José Province
Cuba_,Cuba_Pinar del Río Province
Cuba_,Cuba_Havana Province
Cuba_,Cuba_Matanzas Province
Cuba_,Cuba_Villa Clara Province
Cuba_,Cuba_Cienfuegos Province
Cuba_,Cuba_Sancti Spíritus Province
Cuba_,Cuba_Ciego de Ávila Province
Cuba_,Cuba_Camagüey Province
Cuba_,Cuba_Las Tunas Province
Cuba_,Cuba_Holguín Province
Cuba_,Cuba_Granma Province
Cuba_,Cuba_Santiago de Cuba Province
Cuba_,Cuba_Guantánamo Province
Cuba_,Cuba_Artemisa Province
Cuba_,Cuba_Mayabeque Province
Cuba_,Cuba_Isla de la Juventud
Czechia_,Czech Republic_
Czechia_,Czech Republic_Prague
Czechia_,Czech Republic_Central Bohemian Region
Czechia_,Czech Republic_South Bohemian Region
Czechia_,Czech Republic_Plzeň Region
Czechia_,Czech Republic_Karlovy Vary Region
Czechia_,Czech Republic_Ústí nad Labem Region
Czechia_,Czech Republic_Liberec Region
Czechia_,Czech Republic_Hradec Králové Region
Czechia_,Czech Republic_Pardubice Region
Czechia_,Czech Republic_Vysocina Region
Czechia_,Czech Republic_South Moravian Region
Czechia_,Czech Republic_Olomouc Region
Czechia_,Czech Republic_Zlin Region
Czechia_,Czech Republic_Moravian-Silesian Region
Dominican Republic_,Dominican Republic_Distrito Nacional
Dominican Republic_,Dominican Republic_Azua Province
Dominican Republic_,Dominican Republic_Baoruco Province
Dominican Republic_,Dominican Republic_Barahona Province
Dominican Republic_,Dominican Republic_Dajabón Province
Dominican Republic_,Dominican Republic_Duarte Province
Dominican Republic_,Dominican Republic_Elías Piña Province
Dominican Republic_,Dominican Republic_El Seibo Province
Dominican Republic_,Dominican Republic_Espaillat Province
Dominican Republic_,Dominican Republic_Independencia
Dominican Republic_,Dominican Republic_La Altagracia Province
Dominican Republic_,Dominican Republic_La Romana Province
Dominican Republic_,Dominican Republic_La Vega Province
Dominican Republic_,Dominican Republic_María Trinidad Sánchez Province
Dominican Republic_,Dominican Republic_Monte Cristi Province
Dominican Republic_,Dominican Republic_Pedernales Province
Dominican Republic_,Dominican Republic_Peravia Province
Dominican Republic_,Dominican Republic_Puerto Plata Province
Dominican Republic_,Dominican Republic_Hermanas Mirabal Province
Dominican Republic_,Dominican Republic_Samaná Province
Dominican Republic_,Dominican Republic_San Cristóbal Province
Dominican Republic_,Dominican Republic_San Juan Province
Dominican Republic_,Dominican Republic_San Pedro de Macorís
Dominican Republic_,Dominican Republic_Sánchez Ramírez Province
Dominican Republic_,Dominican Republic_Santiago Province
Dominican Republic_,Dominican Republic_Santiago Rodríguez Province
Dominican Republic_,Dominican Republic_Valverde Province
Dominican Republic_,Dominican Republic_Monseñor Nouel Province
Dominican Republic_,Dominican Republic_Monte Plata Province
Dominican Republic_,Dominican Republic_Hato Mayor Province
Dominican Republic_,Dominican Republic_San José de Ocoa Province
Dominican Republic_,Dominican Republic_Santo Domingo Province
Ecuador_,Ecuador_Azuay Province
Ecuador_,Ecuador_Bolívar Province
Ecuador_,Ecuador_Carchi Province
Ecuador_,Ecuador_Orellana Province
Ecuador_,Ecuador_Esmeraldas
Ecuador_,Ecuador_Cañar Province
Ecuador_,Ecuador_Guayas Province
Ecuador_,Ecuador_Chimborazo Province
Ecuador_,Ecuador_Imbabura Province
Ecuador_,Ecuador_Loja Province
Ecuador_,Ecuador_Manabí Provin
Ecuador_,Ecuador_Napo Province
Ecuador_,Ecuador_El Oro Province
Ecuador_,Ecuador_Pichincha Province
Ecuador_,Ecuador_Los Ríos Province
Ecuador_,Ecuador_Morona-Santiago Province
Ecuador_,Ecuador_Santo Domingo de los TsÃ¡chilas Province
Ecuador_,Ecuador_Santa Elena Province
Ecuador_,Ecuador_Tungurahua Province
Ecuador_,Ecuador_Sucumbíos Province
Ecuador_,Ecuador_Galápagos Province
Ecuador_,Ecuador_Cotopaxi Province
Ecuador_,Ecuador_Pastaza Province
Ecuador_,Ecuador_Zamora-Chinchipe Province
El Salvador_,El Salvador_Ahuachapán Department
El Salvador_,El Salvador_Cabañas Department
El Salvador_,El Salvador_Chalatenango Department
El Salvador_,El Salvador_Cuscatlán Department
El Salvador_,El Salvador_La Libertad Department
El Salvador_,El Salvador_Morazán Department
El Salvador_,El Salvador_La Paz Department
El Salvador_,El Salvador_Santa Ana Department
El Salvador_,El Salvador_San Miguel Department
El Salvador_,El Salvador_Sonsonate Department
El Salvador_,El Salvador_San Salvador Department
El Salvador_,El Salvador_San Vicente Department
El Salvador_,El Salvador_La Unión Department
El Salvador_,El Salvador_Usulután Department
France_,France_Auvergne-Rhône-Alpes
France_,France_Bourgogne-Franche-Comté
France_,France_Brittany
France_,France_Corsica
France_,France_Centre-Val de Loire
France_,France_Grand Est
France_,France_Hauts-de-France
France_,France_Île-de-France
France_,France_Nouvelle-Aquitaine
France_,France_Normandy
France_,France_Occitanie
France_,France_Provence-Alpes-Côte d'Azur
France_,France_Pays de la Loire
French Southern Territories_,French Southern Territories_
Guatemala_,Guatemala_Alta Verapaz Department
Guatemala_,Guatemala_Baja Verapaz Department
Guatemala_,Guatemala_Chimaltenango Department
Guatemala_,Guatemala_Chiquimula Department
Guatemala_,Guatemala_Escuintla Department
Guatemala_,Guatemala_Guatemala Department
Guatemala_,Guatemala_Huehuetenango Department
Guatemala_,Guatemala_Izabal Department
Guatemala_,Guatemala_Jalapa Department
Guatemala_,Guatemala_Jutiapa Department
Guatemala_,Guatemala_Petén Department
Guatemala_,Guatemala_El Progreso Department
Guatemala_,Guatemala_Quiché Department
Guatemala_,Guatemala_Quetzaltenango Department
Guatemala_,Guatemala_Retalhuleu Department
Guatemala_,Guatemala_Sacatepéquez Department
Guatemala_,Guatemala_San Marcos Department
Guatemala_,Guatemala_Sololá Department
Guatemala_,Guatemala_Santa Rosa Department
Guatemala_,Guatemala_Suchitepéquez Department
Guatemala_,Guatemala_Totonicapán Department
Guatemala_,Guatemala_Zacapa Department
Haiti_,Haiti_Artibonite
Haiti_,Haiti_Centre
Haiti_,Haiti_Grand'Anse
Haiti_,Haiti_Nord
Haiti_,Haiti_Nord-Est
Haiti_,Haiti_Nippes
Haiti_,Haiti_Nord-Ouest
Haiti_,Haiti_Ouest
Haiti_,Haiti_Sud
Haiti_,Haiti_Sud-Est
Honduras_,Honduras_Atlántida Department
Honduras_,Honduras_Choluteca Department
Honduras_,Honduras_Colón Department
Honduras_,Honduras_Comayagua Department
Honduras_,Honduras_Copán Department
Honduras_,Honduras_Cortés Department
Honduras_,Honduras_El Paraíso Department
Honduras_,Honduras_Francisco Morazán Department
Honduras_,Honduras_Gracias a Dios Department
Honduras_,Honduras_Bay Islands Department
Honduras_,Honduras_Intibucá Department
Honduras_,Honduras_Lempira Department
Honduras_,Honduras_La Paz Department
Honduras_,Honduras_Ocotepeque Department
Honduras_,Honduras_Olancho Department
Honduras_,Honduras_Santa Bárbara Department
Honduras_,Honduras_Valle Department
Honduras_,Honduras_Yoro Department
Indonesia_,Indonesia_Aceh
Indonesia_,Indonesia_Bali
Indonesia_,Indonesia_Bangka Belitung Islands
Indonesia_,Indonesia_Bengkulu
Indonesia_,Indonesia_Banten
Indonesia_,Indonesia_Gorontalo
Indonesia_,Indonesia_Jambi
Indonesia_,Indonesia_West Java
Indonesia_,Indonesia_East Java
Indonesia_,Indonesia_Jakarta
Indonesia_,Indonesia_Central Java
Indonesia_,Indonesia_West Kalimantan
Indonesia_,Indonesia_East Kalimantan
Indonesia_,Indonesia_Riau Islands
Indonesia_,Indonesia_South Kalimantan
Indonesia_,Indonesia_Central Kalimantan
Indonesia_,Indonesia_North Kalimantan
Indonesia_,Indonesia_Lampung
Indonesia_,Indonesia_Maluku
Indonesia_,Indonesia_North Maluku
Indonesia_,Indonesia_West Nusa Tenggara
Indonesia_,Indonesia_East Nusa Tenggara
Indonesia_,Indonesia_Papua
Indonesia_,Indonesia_West Papua
Indonesia_,Indonesia_Riau
Indonesia_,Indonesia_North Sulawesi
Indonesia_,Indonesia_West Sumatra
Indonesia_,Indonesia_Southeast Sulawesi
Indonesia_,Indonesia_South Sulawesi
Indonesia_,Indonesia_West Sulawesi
Indonesia_,Indonesia_South Sumatra
Indonesia_,Indonesia_Central Sulawesi
Indonesia_,Indonesia_North Sumatra
Indonesia_,Indonesia_Yogyakarta
Iraq_,Iraq_
Iraq_,Iraq_Al Anbar
Iraq_,Iraq_Erbil
Iraq_,Iraq_Basra
Iraq_,Iraq_Babylon
Iraq_,Iraq_Baghdad
Iraq_,Iraq_Dohuk
Iraq_,Iraq_Diyala
Iraq_,Iraq_Dhi Qar
Iraq_,Iraq_Halabja
Iraq_,Iraq_Karbala
Iraq_,Iraq_Kirkuk
Iraq_,Iraq_Maysan
Iraq_,Iraq_Al Muthanna
Iraq_,Iraq_Najaf
Iraq_,Iraq_Nineveh
Iraq_,Iraq_Al-QÄdisiyyah
Iraq_,Iraq_Saladin
Iraq_,Iraq_Sulaymaniyah
Iraq_,Iraq_Wasit
Kenya_,Kenya_Baringo
Kenya_,Kenya_Bomet
Kenya_,Kenya_Bungoma
Kenya_,Kenya_Busia
Kenya_,Kenya_Elgeyo-Marakwet
Kenya_,Kenya_Embu
Kenya_,Kenya_Garissa
Kenya_,Kenya_Homa Bay
Kenya_,Kenya_Isiolo
Kenya_,Kenya_Kajiado
Kenya_,Kenya_Kakamega
Kenya_,Kenya_Kericho
Kenya_,Kenya_Kiambu
Kenya_,Kenya_Kilifi
Kenya_,Kenya_Kirinyaga
Kenya_,Kenya_Kisii
Kenya_,Kenya_Kisumu
Kenya_,Kenya_Kitui
Kenya_,Kenya_Kwale
Kenya_,Kenya_Laikipia
Kenya_,Kenya_Lamu
Kenya_,Kenya_Machakos
Kenya_,Kenya_Makueni
Kenya_,Kenya_Mandera
Kenya_,Kenya_Marsabit
Kenya_,Kenya_Meru
Kenya_,Kenya_Migori
Kenya_,Kenya_Mombasa
Kenya_,Kenya_Murang'a
Kenya_,Kenya_Nairobi City
Kenya_,Kenya_Nakuru
Kenya_,Kenya_Nandi
Kenya_,Kenya_Narok
Kenya_,Kenya_Nyamira
Kenya_,Kenya_Nyandarua
Kenya_,Kenya_Nyeri
Kenya_,Kenya_Samburu
Kenya_,Kenya_Siaya
Kenya_,Kenya_Taita-Taveta
Kenya_,Kenya_Tana River
Kenya_,Kenya_Tharaka-Nithi
Kenya_,Kenya_Trans Nzoia
Kenya_,Kenya_Turkana
Kenya_,Kenya_Uasin Gishu
Kenya_,Kenya_Vihiga
Kenya_,Kenya_Wajir
Kenya_,Kenya_West Pokot
Libya_,Libya_Benghazi
Libya_,Libya_Butnan
Libya_,Libya_Bani Walid
Libya_,Libya_Derna
Libya_,Libya_Ghadames
Libya_,Libya_Gharyan
Libya_,Libya_Ghat
Libya_,Libya_Jabal al Akhdar
Libya_,Libya_Jabal al Gharbi
Libya_,Libya_Al-Jafra
Libya_,Libya_Al Jufrah
Libya_,Libya_Kufra
Libya_,Libya_Khoms
Libya_,Libya_Murqub
Libya_,Libya_Kikla
Libya_,Libya_Marj
Libya_,Libya_Murzuq
Libya_,Libya_Misurata
Libya_,Libya_Nalut
Libya_,Libya_Nuqat al Khams
Libya_,Libya_Sabha
Libya_,Libya_Sirte
Libya_,Libya_Sabratha
Libya_,Libya_Tripoli
Libya_,Libya_Al Wahat
Libya_,Libya_Wadi al Hayaa
Libya_,Libya_Wadi al Shati
Libya_,Libya_Yafran
Libya_,Libya_Zawia
Libya_,Libya_Zintan
Libya_,Libya_Al Bayda' Governorate
South Korea_,South Korea_Seoul
South Korea_,South Korea_Busan
South Korea_,South Korea_Daegu
South Korea_,South Korea_Incheon
South Korea_,South Korea_Gwangju
South Korea_,South Korea_Daejeon
South Korea_,South Korea_Ulsan
South Korea_,South Korea_Gyeonggi
South Korea_,South Korea_Gangwon
South Korea_,South Korea_Chungbuk
South Korea_,South Korea_Chungnam
South Korea_,South Korea_Jeonbuk
South Korea_,South Korea_Jeonnam
South Korea_,South Korea_Gyeongbuk
South Korea_,South Korea_Gyeongnam
South Korea_,South Korea_Jeju
South Korea_,South Korea_Sejong
Malaysia_,Malaysia_Johor
Malaysia_,Malaysia_Kedah
Malaysia_,Malaysia_Kelantan
Malaysia_,Malaysia_Malacca
Malaysia_,Malaysia_Negeri Sembilan
Malaysia_,Malaysia_Pahang
Malaysia_,Malaysia_Penang
Malaysia_,Malaysia_Perak
Malaysia_,Malaysia_Perlis
Malaysia_,Malaysia_Selangor
Malaysia_,Malaysia_Terengganu
Malaysia_,Malaysia_Sabah
Malaysia_,Malaysia_Sarawak
Malaysia_,Malaysia_Kuala Lumpur
Malaysia_,Malaysia_Labuan
Malaysia_,Malaysia_Putrajaya
Mozambique_,Mozambique_Niassa Province
Mozambique_,Mozambique_Manica Province
Mozambique_,Mozambique_Gaza Province
Mozambique_,Mozambique_Inhambane Province
Mozambique_,Mozambique_Maputo Province
Mozambique_,Mozambique_Maputo
Mozambique_,Mozambique_Nampula Province
Mozambique_,Mozambique_Cabo Delgado Province
Mozambique_,Mozambique_Zambezia Province
Mozambique_,Mozambique_Sofala
Mozambique_,Mozambique_Tete Province
Nauru_,Nauru_
Nicaragua_,Nicaragua_North Caribbean Coast Autonomous Region
Nicaragua_,Nicaragua_South Caribbean Coast Autonomous Region
Nicaragua_,Nicaragua_Boaco Department
Nicaragua_,Nicaragua_Carazo Department
Nicaragua_,Nicaragua_Chinandega Department
Nicaragua_,Nicaragua_Chontales Department
Nicaragua_,Nicaragua_Estelí Department
Nicaragua_,Nicaragua_Granada Department
Nicaragua_,Nicaragua_Jinotega Department
Nicaragua_,Nicaragua_León Department
Nicaragua_,Nicaragua_Madriz Department
Nicaragua_,Nicaragua_Managua Department
Nicaragua_,Nicaragua_Masaya Department
Nicaragua_,Nicaragua_Matagalpa Department
Nicaragua_,Nicaragua_Nueva Segovia Department
Nicaragua_,Nicaragua_Rivas Department
Nicaragua_,Nicaragua_Río San Juan Department
Niue_,Niue_
Norfolk Island_,Norfolk Island_
North Korea_,North Korea_
Northern Mariana Islands_,Northern Mariana Islands_
Norway_,Norway_Oslo
Norway_,Norway_Rogaland
Norway_,Norway_Møre og Romsdal
Norway_,Norway_Nordland
Norway_,Norway_Svalbard
Norway_,Norway_Jan Mayen
Norway_,Norway_Viken
Norway_,Norway_Innlandet
Norway_,Norway_Vestfold og Telemark
Norway_,Norway_Agder
Norway_,Norway_Vestland
Norway_,Norway_Trøndelag
Norway_,Norway_Troms og Finnmark
Panama_,Panama_Bocas del Toro Province
Panama_,Panama_Panamá Oeste Province
Panama_,Panama_Coclé Province
Panama_,Panama_Colón Province
Panama_,Panama_Chiriquí Province
Panama_,Panama_Darién Province
Panama_,Panama_Herrera Province
Panama_,Panama_Los Santos Province
Panama_,Panama_Panamá Province
Panama_,Panama_Veraguas Province
Panama_,Panama_Emberá-Wounaan Comarca
Panama_,Panama_Guna Yala
Paraguay_,Paraguay_Concepción Department
Paraguay_,Paraguay_Alto Paraná Department
Paraguay_,Paraguay_Central Department
Paraguay_,Paraguay_Ñeembucú Department
Paraguay_,Paraguay_Amambay Department
Paraguay_,Paraguay_Canindeyú
Paraguay_,Paraguay_Presidente Hayes Department
Paraguay_,Paraguay_Alto Paraguay Department
Paraguay_,Paraguay_Boquerón Department
Paraguay_,Paraguay_San Pedro Department
Paraguay_,Paraguay_Cordillera Department
Paraguay_,Paraguay_Guairá Department
Paraguay_,Paraguay_Caaguazú
Paraguay_,Paraguay_Caazapá
Paraguay_,Paraguay_Itapúa
Paraguay_,Paraguay_Misiones Department
Paraguay_,Paraguay_Paraguarí Department
Paraguay_,Paraguay_Capital District
Peru_,Peru_Metropolitan Municipality of Lima
Philippines_,Philippines_National Capital Region
Philippines_,Philippines_Ilocos Region
Philippines_,Philippines_Cagayan Valley
Philippines_,Philippines_Central Luzon
Philippines_,Philippines_Bicol Region
Philippines_,Philippines_Western Visayas
Philippines_,Philippines_Central Visayas
Philippines_,Philippines_Eastern Visayas
Philippines_,Philippines_Zamboanga Peninsula
Philippines_,Philippines_Northern Mindanao
Philippines_,Philippines_Davao Region
Philippines_,Philippines_Soccsksargen
Philippines_,Philippines_Caraga
Philippines_,Philippines_Autonomous Region in Muslim Mindanao
Philippines_,Philippines_Cordillera Administrative Region
Philippines_,Philippines_Calabarzon
Philippines_,Philippines_Mimaropa
Pitcairn Islands_,Pitcairn Islands_
Poland_,Poland_Lower Silesia
Poland_,Poland_Kuiavia-Pomerania
Poland_,Poland_Lublin
Poland_,Poland_Lubusz
Poland_,Poland_Łódź
Poland_,Poland_Lesser Poland
Poland_,Poland_Mazovia
Poland_,Poland_Opole
Poland_,Poland_Subcarpathia
Poland_,Poland_Podlaskie
Poland_,Poland_Pomerania
Poland_,Poland_Silesia
Poland_,Poland_Swietokrzyskie
Poland_,Poland_Warmia-Masuria
Poland_,Poland_Greater Poland
Poland_,Poland_West Pomeranian
Portugal_,Portugal_Norte
Portugal_,Portugal_Algarve
Portugal_,Portugal_Centro
Portugal_,Portugal_Lisbon Metropolitan Area
Portugal_,Portugal_Alentejo
Portugal_,Portugal_Azores
Portugal_,Portugal_Madeira
Puerto Rico_,Puerto Rico_
Romania_,Romania_Alba
Romania_,Romania_Arad
Romania_,Romania_Argeș
Romania_,Romania_Bacău
Romania_,Romania_Bihor
Romania_,Romania_Bistrița-Năsăud
Romania_,Romania_Botoșani
Romania_,Romania_Brăila
Romania_,Romania_Brașov
Romania_,Romania_București
Romania_,Romania_Buzău
Romania_,Romania_Călărași
Romania_,Romania_Caraș-Severin
Romania_,Romania_Cluj
Romania_,Romania_Constanța
Romania_,Romania_Covasna
Romania_,Romania_Dâmbovița
Romania_,Romania_Dolj
Romania_,Romania_Galați
Romania_,Romania_Giurgiu
Romania_,Romania_Gorj
Romania_,Romania_Harghita
Romania_,Romania_Hunedoara
Romania_,Romania_Ialomița
Romania_,Romania_Iași
Romania_,Romania_Ilfov
Romania_,Romania_Maramureș
Romania_,Romania_Mehedinți
Romania_,Romania_Mureș
Romania_,Romania_Neamț
Romania_,Romania_Olt
Romania_,Romania_Prahova
Romania_,Romania_Sălaj
Romania_,Romania_Satu Mare
Romania_,Romania_Sibiu
Romania_,Romania_Suceava
Romania_,Romania_Teleorman
Romania_,Romania_Timiș
Romania_,Romania_Tulcea
Romania_,Romania_Vâlcea
Romania_,Romania_Vaslui
Romania_,Romania_Vrancea
Saint Helena_,Saint Helena_
Samoa_,Samoa_
South Africa_,South Africa_Eastern Cape
South Africa_,South Africa_Free State
South Africa_,South Africa_Gauteng
South Africa_,South Africa_KwaZulu-Natal
South Africa_,South Africa_Limpopo
South Africa_,South Africa_Mpumalanga
South Africa_,South Africa_Northern Cape
South Africa_,South Africa_North West
South Africa_,South Africa_Western Cape
South Africa_,South Georgia and the South Sandwich Islands_
Sudan_,Sudan_Central Darfur
Sudan_,Sudan_East Darfur
Sudan_,Sudan_North Darfur
Sudan_,Sudan_South Darfur
Sudan_,Sudan_West Darfur
Sudan_,Sudan_Al Qadarif
Sudan_,Sudan_West Kordofan
Sudan_,Sudan_Al Jazirah
Sudan_,Sudan_Kassala
Sudan_,Sudan_Khartoum
Sudan_,Sudan_North Kordofan
Sudan_,Sudan_South Kordofan
Sudan_,Sudan_Blue Nile
Sudan_,Sudan_Northern
Sudan_,Sudan_River Nile
Sudan_,Sudan_White Nile
Sudan_,Sudan_Red Sea
Sudan_,Sudan_Sennar
Svalbard and Jan Mayen_,Svalbard and Jan Mayen_
Swaziland_,Swaziland_
Switzerland_,Switzerland_Aargau
Switzerland_,Switzerland_Appenzell Ausserrhoden
Switzerland_,Switzerland_Appenzell Innerrhoden
Switzerland_,Switzerland_Basel-Landschaft
Switzerland_,Switzerland_Basel-Stadt
Switzerland_,Switzerland_Bern
Switzerland_,Switzerland_Fribourg
Switzerland_,Switzerland_Geneva
Switzerland_,Switzerland_Glarus
Switzerland_,Switzerland_Grisons
Switzerland_,Switzerland_Jura
Switzerland_,Switzerland_Lucerne
Switzerland_,Switzerland_Neuchâtel
Switzerland_,Switzerland_Nidwalden
Switzerland_,Switzerland_Obwalden
Switzerland_,Switzerland_Schaffhausen
Switzerland_,Switzerland_Schwyz
Switzerland_,Switzerland_Solothurn
Switzerland_,Switzerland_St. Gallen
Switzerland_,Switzerland_Thurgau
Switzerland_,Switzerland_Ticino
Switzerland_,Switzerland_Uri
Switzerland_,Switzerland_Valais
