JHU,GCP
Greece_,Greece_
Grenada_,Grenada_
Guatemala_,Guatemala_
Guinea_,Guinea_
Guinea-Bissau_,Guinea-Bissau_
Guyana_,Guyana_
Haiti_,Haiti_
Holy See_,
Honduras_,Honduras_
Hungary_,Hungary_
Iceland_,Iceland_
India_Andaman and Nicobar Islands,India_Andaman and Nicobar Islands
India_Andhra Pradesh,India_Andhra Pradesh
India_Arunachal Pradesh,India_Arunachal Pradesh
India_Assam,India_Assam
India_Bihar,India_Bihar
India_Chandigarh,India_Chandigarh
India_Chhattisgarh,India_Chhattisgarh
India_Dadra and Nagar Haveli and Daman and Diu,India_Dadra and Nagar Haveli and Daman and Diu
India_Delhi,India_Delhi
India_Goa,India_Goa
India_Gujarat,India_Gujarat
India_Haryana,India_Haryana
India_Himachal Pradesh,India_Himachal Pradesh
India_Jammu and Kashmir,India_Jammu and Kashmir
India_Jharkhand,India_Jharkhand
India_Karnataka,India_Karnataka
India_Kerala,India_Kerala
India_Ladakh,India_Ladakh
India_Lakshadweep,India_Lakshadweep
India_Madhya Pradesh,India_Madhya Pradesh
India_Maharashtra,India_Maharashtra
India_Manipur,India_Manipur
India_Meghalaya,India_Meghalaya
India_Mizoram,India_Mizoram
India_Nagaland,India_Nagaland
India_Odisha,India_Odisha
India_Puducherry,India_Puducherry
India_Punjab,India_Punjab
India_Rajasthan,India_Rajasthan
India_Sikkim,India_Sikkim
India_Tamil Nadu,India_Tamil Nadu
India_Telangana,India_Telangana
India_Tripura,India_Tripura
India_Unknown,
India_Uttar Pradesh,India_Uttar Pradesh
India_Uttarakhand,India_Uttarakhand
India_West Bengal,India_West Bengal
Indonesia_,Indonesia_
Iran_,Iran_
Iraq_,
Ireland_,Iraq_
Israel_,Israel_
Italy_Abruzzo,Italy_Abruzzo
Italy_Basilicata,Italy_Basilicata
Italy_Calabria,Italy_Calabria
Italy_Campania,Italy_Campania
Italy_Emilia-Romagna,Italy_Emilia-Romagna
Italy_Friuli Venezia Giulia,Italy_Friuli Venezia Giulia
Italy_Lazio,Italy_Lazio
Italy_Liguria,Italy_Liguria
Italy_Lombardia,Italy_Lombardy
Italy_Marche,Italy_Marche
Italy_Molise,Italy_Molise
Italy_P.A. Bolzano,
Italy_P.A. Trento,
Italy_Piemonte,Italy_Piemont
Italy_Puglia,
Italy_Sardegna,Italy_Sardinia
Italy_Sicilia,Italy_Sicily
Italy_Toscana,Italy_Tuscany
Italy_Umbria,Italy_Umbria
Italy_Valle d'Aosta,Italy_Aosta Valley
Italy_Veneto,Italy_Veneto
Jamaica_,Jamaica_
Japan_Aichi,Japan_Aichi
Japan_Akita,Japan_Akita
Japan_Aomori,Japan_Aomori
Japan_Chiba,Japan_Chiba
Japan_Ehime,Japan_Ehime
Japan_Fukui,Japan_Fukui
Japan_Fukuoka,Japan_Fukuoka
Japan_Fukushima,Japan_Fukushima
Japan_Gifu,Japan_Gifu
Japan_Gunma,Japan_Gunma
Japan_Hiroshima,Japan_Hiroshima
Japan_Hokkaido,Japan_Hokkaido
Japan_Hyogo,Japan_Hyōgo
Japan_Ibaraki,Japan_Ibaraki
Japan_Ishikawa,Japan_Ishikawa
Japan_Iwate,Japan_Iwate
Japan_Kagawa,Japan_Kagawa
Japan_Kagoshima,Japan_Kagoshima
Japan_Kanagawa,Japan_Kanagawa
Japan_Kochi,Japan_Kōchi
Japan_Kumamoto,Japan_Kumamoto
